Title,Description,Keywords,Dataset Type,Collection Period,Organism,Genes,Tissue/Cell Type,Condition,Technique,Instrument Platform,Software,Usage Restrictions,Related Datasets
Widespread of horizontal gene transfer events in eukaryotes,"Horizontal gene transfer (HGT) is the transfer of genetic material between distantly related organisms. While most genes in prokaryotes can be horizontally transferred, HGT events in eukaryotes are considered as rare, particularly in mammals. Here we reported the identification of HGT regions (HGTs), which are genomic sequence fragments indicating the occurrence of HGT events, in human, mouse, cow, lizard, frog, zebrafish, fruit fly, nematode, Arabidopsis and yeast. By comparing the genomes of these 10 representative eukaryotes with 1,496 eukaryotic genomes, 16,098 bacteria and 11,695 viruses, we found between 10 and 243 non-redundant HGTs per species, and most of these HGTs were previously unknown. These HGTs have transformed their host genomes with various numbers of copies and have impacted hundreds, even thousands of genes. We listed several examples of HGTs and proposed some possible routes that HGT events occurred. Further analysis showed that the majority of the 1,496 eukaryotes with full length genome sequences also contain HGTs. Our findings reveal that HGT is widespread in eukaryotic genomes, and HGT is a ubiquitous driver of genome evolution for eukaryotes.","['eukaryotes', 'gene', 'widespread', 'horizontal', 'transfer', 'genomic', 'genetic', 'genes', 'prokaryotes', 'eukaryotes', 'genomics']",,2024-06-24,,,,,,,,cc_by_nc_nd,
Precise control of neural activity using dynamically optimized electrical stimulation,"Neural implants have the potential to restore lost sensory function by electrically evoking the complex naturalistic activity patterns of neural populations. However, it can be difficult to predict and control evoked neural responses to simultaneous multi-electrode stimulation due to nonlinearity of the responses. We present a solution to this problem and demonstrate its utility in the context of a bi-directional retinal implant for restoring vision. A dynamically optimized stimulation approach encodes incoming visual stimuli into a rapid, greedily chosen, temporally dithered and spatially multiplexed sequence of simple stimulation patterns. Stimuli are selected to optimize the reconstruction of the visual stimulus from the evoked responses. Temporal dithering exploits the slow time scales of downstream neural processing, and spatial multiplexing exploits the independence of responses generated by distant electrodes. The approach was evaluated using an experimental laboratory prototype of a retinal implant: large-scale, high-resolution multi-electrode stimulation and recording of macaque and rat retinal ganglion cells ex vivo. The dynamically optimized stimulation approach substantially enhanced performance compared to existing approaches based on static mapping between visual stimulus intensity and current amplitude. The modular framework enabled parallel extensions to naturalistic viewing conditions, incorporation of perceptual similarity measures, and efficient implementation for an implantable device. A direct closed-loop test of the approach supported its potential use in vision restoration.

Impact StatementA novel method of electrical stimulation to precisely control neural activity for sensory restoration exhibits improvements in visual stimulus reconstruction, enables efficient hardware design, and extends to naturalistic conditions.","['electrical', 'neural', 'optimized', 'stimulation', 'precise', 'retinal', 'neural', 'multiplexing', 'nonlinearity', 'sensory', 'neuroscience']",,2024-06-21,,,,,,,,cc_no,
Precise control of neural activity using dynamically optimized electrical stimulation,"Neural implants have the potential to restore lost sensory function by electrically evoking the complex naturalistic activity patterns of neural populations. However, it can be difficult to predict and control evoked neural responses to simultaneous multi-electrode stimulation due to nonlinearity of the responses. We present a solution to this problem and demonstrate its utility in the context of a bi-directional retinal implant for restoring vision. A dynamically optimized stimulation approach encodes incoming visual stimuli into a rapid, greedily chosen, temporally dithered and spatially multiplexed sequence of simple stimulation patterns. Stimuli are selected to optimize the reconstruction of the visual stimulus from the evoked responses. Temporal dithering exploits the slow time scales of downstream neural processing, and spatial multiplexing exploits the independence of responses generated by distant electrodes. The approach was evaluated using an experimental laboratory prototype of a retinal implant: large-scale, high-resolution multi-electrode stimulation and recording of macaque and rat retinal ganglion cells ex vivo. The dynamically optimized stimulation approach substantially enhanced performance compared to existing approaches based on static mapping between visual stimulus intensity and current amplitude. The modular framework enabled parallel extensions to naturalistic viewing conditions, incorporation of perceptual similarity measures, and efficient implementation for an implantable device. A direct closed-loop test of the approach supported its potential use in vision restoration.

Impact StatementA novel method of electrical stimulation to precisely control neural activity for sensory restoration exhibits improvements in visual stimulus reconstruction, enables efficient hardware design, and extends to naturalistic conditions.","['electrical', 'neural', 'optimized', 'stimulation', 'precise', 'retinal', 'neural', 'multiplexing', 'nonlinearity', 'sensory', 'neuroscience']",,2024-06-25,,,,,,,,cc_no,
Neuregulin1 nuclear signaling influences adult neurogenesis and regulates a schizophrenia susceptibility gene network within the mouse dentate gyrus.,"Neuregulin1 (Nrg1) signaling is critical for aspects of neuronal development and function from fate specification to synaptic plasticity. Type III Nrg1 is a synaptic protein which engages in bi-directional signaling with its receptor ErbB4. Forward signaling engages ErbB4 phosphorylation, whereas back signaling engages two known mechanisms: 1. local axonal PI3K-AKT signaling, and 2. cleavage by gamma secretase resulting in cytosolic release of the intracellular domain (ICD), which can traffic to the nucleus (Bao, Wolpowitz et al. 2003, Hancock, Canetta et al. 2008). To dissect the contribution of these alternate signaling strategies to neuronal development we generated a transgenic mouse with a missense mutation (V321L) in the Nrg1 transmembrane domain that disrupts nuclear back signaling with minimal effects on forward signaling or local back-signaling and was previously found to be associated with psychosis (Walss-Bass, Liu et al. 2006). We combined RNA sequencing, retroviral fate mapping of neural stem cells, behavioral analyses, and various network analyses of transcriptomic data to investigate the effect of disrupting Nrg1 nuclear back-signaling in the dentate gyrus (DG) of male and female mice.

The V321L mutation impairs nuclear translocation of the Nrg1 ICD and alters gene expression in the DG. V321L mice show reduced stem cell proliferation, altered cell cycle dynamics, fate specification defects, and dendritic dysmorphogenesis. Orthologs of known schizophrenia (SCZ)-susceptibility genes were dysregulated in the V321L DG. These genes coordinated a larger network with other dysregulated genes. WGCNA and protein-interaction network analyses revealed striking similarity between DG transcriptomes of V321L mouse and humans with schizophrenia.

SIGNIFICANCE STATEMENTSynaptic contact is predicted to be a regulator of the generation of nuclear signaling by Nrg1. Here we show that a schizophrenia-associated mutation in Nrg1 disrupts its ability to communicate extracellular signals to the neuronal genome which results in altered expression of a gene network enriched for orthologs of schizophrenia-susceptibility genes. The striking overlap in functional and molecular alterations between a single rare homozygous missense mutation (V321L) and schizophrenia patient data (complex polygenic and environmental burden) underscores potential convergence of rare and common variants on the same cellular and molecular phenotypes. Furthermore, our data indicate that the evolutionarily conserved gene networks that form the basis for this risk are necessary for coordinating neurodevelopmental events in the DG.","['neuregulin1', 'neurogenesis', 'schizophrenia', 'gene', 'mouse', 'neuregulin1', 'neurodevelopmental', 'transmembrane', 'transcriptomes', 'transcriptomic', 'neuroscience']",,2024-06-20,,,,,,,,cc0,
Nonlinear computation by a habenula-driven recurrent inhibitory network in the raphe,"Serotonin (5-HT) neurons in the dorsal raphe nucleus (DRN) receive a constellation of long-range inputs, yet guiding principles of local circuit organization and underlying computations in this nucleus are largely unknown. Using inputs from the lateral habenula (LHb) to interrogate the processing features of the DRN, we uncovered 5-HT1A receptor-mediated recurrent connections between 5-HT neurons, refuting classical theories of autoinhibition. Cellular electrophysiology and imaging of a genetically encoded 5-HT sensor revealed that these recurrent inhibitory connections spanned the raphe, were slow, stochastic, strongly facilitating, and gated spike output. These features collectively conveyed highly non-linear dynamics to this network, generating excitation-driven inhibition and winner-take-all computations. In vivo optogenetic activation of LHb inputs to DRN, at frequencies where these computations are predicted to ignite, transiently disrupted expression of a reward-conditioned response in an auditory conditioning task. Together, these data identify a core computation supported by an unsuspected slow serotonergic recurrent inhibitory network.","['nonlinear', 'inhibitory', 'computation', 'raphe', 'driven', 'electrophysiology', 'neurons', 'serotonergic', 'serotonin', 'receptor', 'neuroscience']",,2024-06-26,,,,,,,,cc_no,
The m6A reader IGF2BP2 directs immune-metabolic reprogramming in Leishmania amazonensis-infected macrophages,"Macrophages are the major host cells of the protozoan parasite Leishmania in mammalian infection. These key innate immune cells display remarkable phenotypic plasticity ranging from pro-inflammatory M1 to anti-inflammatory M2 macrophages that can control infection and tissue homeostasis, respectively. It has been recognized that Leishmania exploits macrophage phenotypic plasticity to establish chronic infection. However, the current notion that these parasites simply trigger an M2-like phenotype seems over-simplified considering the immunopathology observed during leishmaniasis - in particular in response to Leishmania amazonensis - which is often characterized by a mixed Th1/Th2 immune response. Here we combined a series of systems-level analyses to shed new light on the phenotype of Leishmania-infected macrophages (LIMs) during short- and long-term infection, in vitro and in vivo. Immuno-metabolic profiling by RNA-seq, RT-qPCR, cytokine immunoassays, and real-time bioenergetic flux analysis of L. amazonensis-infected bone marrow-derived macrophages (BMDMs) revealed a highly complex and unique phenotypic and bioenergetic signature. In vitro LIMs were characterized by co-expression of both M1 and M2 markers at RNA and protein levels and increased expression of glycolytic genes that matched a progressive metabolic switch from a M2-like respiratory to a M1-like glycolytic energy production observed for both long-term in vitro and in vivo infected macrophages. Unlike in M1 macrophages, glycolytic gene expression did not correlate with increased expression of its key regulatory HIF-1. In contrast, siRNA knock down experiments in primary BMDMs uncovered an essential role of the m6A reader protein IGF2BP2 in stabilizing m6A modified transcripts of the glycolytic pathway, contributing to HIF-1-independent induction of glycolysis. In conclusion, L. amazonensis establishes a complex and unique phenotypic shift in infected macrophages in vitro and in vivo that combines M1-like and M2-like immuno-metabolomic characteristics and implicates differential mRNA stability in induction of aerobic glycolysis. Our data thus uncover epi-transcriptomic regulation as a novel target for Leishmania immune subversion to establish a host cell phenotype beneficial for intracellular parasite development and chronic infection.","['igf2bp2', 'amazonensis', 'reprogramming', 'macrophages', 'm6a', 'immunopathology', 'igf2bp2', 'bioenergetic', 'immunoassays', 'transcriptomic', 'immunology']",,2024-06-20,,,,,,,,cc_by_nc_nd,
A method to adjust for the uncertainty of predicted expression in transcriptome-wide association study,"1Transcriptome-wide association study (TWAS) is a promising approach to identifying novel genes associated with complex phenotypes. It offers better biological insights into the gene-phenotype associations than a genome-wide association study (GWAS). Standard TWAS approaches build a prediction model for the genetic component of expression based on reference transcriptome data. Next, an outcome phenotype is regressed on the predicted expression in separate GWAS data. The traditional unadjusted TWAS approach ignores the uncertainty of predicted expression, which can lead to unreliable discovery of gene-phenotype associations. We propose a novel approach to adjust for the uncertainty of predicted expression in TWAS. We adapt techniques from measurement error theory and implement bootstrapping algorithms for penalized regression to obtain an adjustment factor that needs to be incorporated in the unadjusted TWAS. We use extensive simulations to show that the unadjusted TWAS severely inflates the type 1 error rate, whereas the adjusted TWAS adequately controls it. At the expense of an alarmingly inflated false positive rate, the unadjusted TWAS offers a higher power than the adjusted TWAS, which is statistically unjustified. We demonstrate the merits of adjusted TWAS by conducting TWAS for height and lipid phenotypes while integrating the Geuvadis transcriptome and UK Biobank GWAS data.","['transcriptome', 'study', 'predicted', 'adjust', 'association', 'genetic', 'algorithms', 'genes', 'biobank', 'genome', 'genomics']",,2024-06-20,,,,,,,,cc_by_nc_nd,
The chloroplast ATP synthase redox domain in Chlamydomonas reinhardtii attenuates activity regulation as requirement for heterotrophic metabolism in darkness.,"To maintain CO2 fixation in the Calvin Benson-Bassham cycle, multi-step regulation of the chloroplast ATP synthase (CF1Fo) is crucial to balance the ATP output of photosynthesis with protection of the apparatus. A well-studied mechanism is thiol modulation; a light/dark regulation through reversible cleavage of a disulfide in the CF1Fo {gamma}-subunit. The disulfide hampers ATP synthesis and hydrolysis reactions in dark-adapted CF1Fo from land plants by increasing the required transmembrane electrochemical proton gradient [Formula]. Here, we show in Chlamydomonas reinhardtii that algal CF1Fo is differently regulated in vivo. A specific hairpin structure in the {gamma}-subunit redox domain disconnects activity regulation from disulfide formation in the dark. Electrochromic shift measurements suggested that the hairpin kept wild type CF1Fo active whereas the enzyme was switched off in algal mutant cells expressing a plant-like hairpin structure. The hairpin segment swap resulted in an elevated [Formula] threshold to activate plant-like CF1Fo, increased by [~]1.4 photosystem (PS) I charge separations. The resulting dark-equilibrated [Formula] dropped in the mutants by [~]2.7 PSI charge separation equivalents. Photobioreactor experiments showed no phenotypes in autotrophic aerated mutant cultures. In contrast, chlorophyll fluorescence measurements under heterotrophic dark conditions point to a reduced plastoquinone pool in cells with the plant-like CF1Fo as the result of bioenergetic bottlenecks. Our results suggest that the lifestyle of Chlamydomonas reinhardtii requires a specific CF1Fo dark regulation that partakes in metabolic coupling between the chloroplast and acetate-fueled mitochondria.

Significance StatementThe microalga Chlamydomonas reinhardtii exhibits a non-classical thiol modulation of the chloroplast ATP synthase for the sake of metabolic flexibility. The redox switch, although established, was functionally disconnected in vivo thanks to a hairpin segment in the {gamma}-subunit redox domain. Dark enzymatic activity was prevented by replacing the algal hairpin segment with the one from land plants, restoring a classical thiol modulation pattern. Thereby, ATP was saved at the expense of thylakoid membrane energization levels in the dark. However, metabolism was impaired upon silencing dark ATPase activity, indicating that a functional disconnect from the redox switch represents an adaptation to different ecological niches.","['synthase', 'chloroplast', 'atp', 'redox', 'reinhardtii', 'atpase', 'bioenergetic', 'atp', 'electrochromic', 'photosynthesis', 'plant biology']",,2024-06-22,,,,,,,,cc_by_nc,
Never let me down: new possibilities for lowering serum free cultivation media costs,"Cultivated meat may be a more ethical, environmentally friendly, antibiotic-free meat alternative of the future. As of now, one of the main limiting factors for bringing cultivated meat to the market is the high cost of the cell culture media and their great dependency on serum albumins, production of which is predicted to become a major bottleneck of this industry. Here, using bovine muscle stem cells (BSC) we optimized B8/B9 medium - one of the well-established serum free, fully defined medium compositions available for purchase or for preparation in-house. We show several combinations of the growth factors/myokines/hormones, which were able to substantially increase BSCs proliferation rate, as well as treatment schemes allowing for five to ten times lower concentrations of signaling molecules for the same effect. Additionally, we identified several food grade, low-price medium stabilizers, exhibiting comparable or even superior stabilization of the B8 medium in short-term cultivations, as compared to recombinant human serum albumin (HSA). DoE aided in identifying the best cultivation conditions. Other satellite cells (porcine, chicken and fish) were grown in several final cell culture medium compositions, showing significant cell-line specific differences in performance. Also, the proliferation and yield of CHO cell line, which is relevant e.g. for the production of growth factors, was also successfully increased using our stabilization approach. We conclude that stabilizers tested here can act as versatile low-cost medium additives, partly by prolonging the half-life of growth factors. Thus, we provide an alternative to HSA, enabling an overall 73% reduction of medium price.","['serum', 'cultivation', 'free', 'lowering', 'possibilities', 'antibiotic', 'meat', 'food', 'chicken', 'fish', 'cell biology']",,2024-06-27,,,,,,,,cc_by,
Cerebral organoids expressing mutant actin genes reveal cellular mechanism underlying microcephalic cortical malformation,"Actins are structural cytoskeletal proteins playing crucial roles in multiple cellular processes. Mutations in the ACTB and ACTG1 genes, encoding the ubiquitous beta- and gamma- cytoskeletal actin isoforms, respectively, cause a broad spectrum of neurodevelopmental disorders, with microcephaly as the most frequent one. Here we used patient-derived cerebral organoids to gain insight into the pathogenesis underlying this cortical malformation. Cerebral organoids from induced pluripotent stem cells (iPSCs) of patients with the Baraitser-Winter- CerebroFrontoFacial syndrome (BWCFF-S), expressing either an ACTB or an ACTG1 missense mutation, are reduced in size, showing a thinner ventricular zone (VZ). This decrease in VZ progenitors is in turn associated with a striking change in the orientation of their cleavage plane from predominantly vertical (control) to predominantly horizontal (BWCFF-S), which is incompatible with increasing VZ progenitor abundance. Various cytoskeletal and morphological irregularities of BWCFF-S VZ progenitors, notably in the apical region of these cells, seemingly contribute to their predominantly horizontal cleavage plane orientation. Our results provide insight into the cell biological basis of the microcephaly associated with BWCFF-S caused by actin mutations.","['genes', 'organoids', 'mutant', 'cerebral', 'cellular', 'neurodevelopmental', 'genes', 'pathogenesis', 'cerebrofrontofacial', 'proteins', 'neuroscience']",,2024-06-21,,,,,,,,cc_no,
